"color","group","name","model","category","crystal symmetry","image caption","cleavage","crystal system","optical properties","strunz classification","unit cell","formula","streak","diaphaneity","mohs scale hardness","luster","image filename","refractive index","crystal habit","specific gravity"
,"Carbonates","Rutherfordine","Mineral","Carbonate","Orthorhombic pyramidal H\u2013M Symbol mm2","Rutherfordine (light yellow, top) together with billietite","perfect on {010}, good on {001}","Orthorhombic","Biaxial (+)","05.EB.05","a = 4.840 \u00c5, b = 9.273 \u00c5, c = 4.298 \u00c5; Z = 2","UO<sub>2</sub>CO<sub>3</sub>","Yellow","Transparent",,"Silky, dull","240px-Rutherfordine-Billietite-Uranophane-214939.jpg","n\u03b1 = 1.700 - 1.723 n\u03b2 = 1.716 - 1.730 n\u03b3 = 1.755 - 1.795","Crystals are Lathlike, elongated crystals commonly radiating, fibrous, matted; earthy to very fine-grained masses.","5.7"
"Reddish brown, red, pale yellow, pale blue, violet, rarely grass-green; black if high in Nb\u2013Ta","Oxides","Rutile","Mineral","Oxide","Tetragonal ditetragonal dipyramidalH-M symbol: (4/m 2/m 2/m)Space group: P 42/mnm","Wine-red rutile crystals from Binn Valley in Switzerland (Size: 2.0 x 1.6 x 0.8 cm)","{110} good, 100 moderate, parting on {092} and {011}","Tetragonal ditetragonal dipyramidal","Uniaxial (+)","04.DB.05","a = 4.5937\u00a0\u00c5, c = 2.9587\u00a0\u00c5; Z = 2","TiO<sub>2</sub>","Bright red to dark red","Opaque, transparent in thin fragments","6.0 - 6.5","Adamantine to submetallic","240px-Rutile-122157.jpg","n\u03c9 = 2.613 n\u03b5 = 2.909 (589nm)","Acicular to Prismatic crystals, elongated andstriated parallel to ","4.23 increasing with Nb\u2013Ta content"
"Colourless to white","Carbonates","Sabinaite","Mineral","Carbonate",,"Tan sabinaite crystals, porcelaneous analcime crystals on a siderite matrix",,"Monoclinic",,"05.BB.20",,"Na<sub>4</sub>Zr<sub>2</sub>TiO<sub>4</sub>(CO<sub>3</sub>)<sub>4</sub>",,,,"Vitreous","240px-Sabinaite-Analcime-Siderite-179414.jpg",,,
"Tin white, tarnishes to gray","Other","Safflorite","Mineral","","Orthorhombic dipyramidalH-M symbol: (2/m 2/m 2/m)Space group: Pnnm","Safflorite and calcite from Morocco","Distinct on {100}","Orthorhombic",,"02.EB.15a","a = 5.173 \u00c5, b = 5.954 \u00c5, c = 2.999 \u00c5; Z=2","(Co,Fe)As<sub>2</sub>","Grayish black","Opaque","4.5-5.5","Metallic","240px-Safflorite_and_Calcite3_-_Bouismas_Mine%2C_Bou_Azzer%2C_Tazenakht%2C_Ouarzazate%2C_Souss-Massa-Draa%2C_Morocco.jpg",,"Prismatic crystals, massive to fibrous","6.9-7.3"
"Colorless, white, pale gray, may be pale yellow to brown if impure","Halides","Sal ammoniac","Mineral","Halide","Isometric 4/m 3 2/m - Gyroidal","","Imperfect on {111}","Isometric","Isotropic","3.AA.25","a = 3.859 \u00c5; Z = 1","<sub>53</sub>.<sub>49</sub> g/mol","White","Transparent","1-2","Vitreous","240px-Salammoniac-49073.jpg","n = 1.639","Crystals skeletal or dendritic; massive, encrustations","1.535"
"Lemon-yellow, straw-yellow, greenish yellow","Phosphates","Saleeite","Mineral","Phosphate","Monoclinic 2/m","Saleeite (yellow mineral), Chihuahua, Mexico","On {001}, perfect; on {010}, {110}, indistinct","Monoclinic","Biaxial (-) typically nearly uniaxial","08.EB.05","a = 6.951(3) \u00c5, b = 19.947(8) \u00c5, c = 9.896(4)\u00a0\u00c5, \u03b2 = 135.17(2)\u00b0; Z=2","Mg(UO<sub>2</sub>)<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>\u00b7<sub>10</sub>(H<sub>2</sub>O)",,"Transparent to opaque",,"Adamantine to waxy","240px-Saleeite-detail.jpg","n\u03b1 = 1.554 - 1.559 n\u03b2 = 1.570 - 1.582 n\u03b3 = 1.571 - 1.585","Crystals are square plates, composite, flattened on {001}, with {001}, {100}, {120}, {012} (pseudotetragonal indices), to 2.5 cm; commonly in subparallel lamellar aggregates.","3.27"
"Black, may have a brownish tint, brown to yellowish brown due to alteration; light to dark brown in transmitted light","Oxides","Samarskite-(Y)","Mineral","Oxide","Orthorhombic dipyramidal (2/m 2/m 2/m)","Samarskite-(Y) crystal cluster, Yancey County, North Carolina (size: 3.3 x 2.8 x 1.7 cm)","{010}, indistinct","Orthorhombic","Appears isotropic","04.DB.25","a = 5.687 \u00c5, b = 4.925 \u00c5, c = 5.21 \u00c5; Z = 2","(YFe<sub>3</sub>+Fe<sub>2</sub>+U,Th,Ca)<sub>2</sub>(Nb,Ta)<sub>2</sub>O<sub>8</sub>","Reddish brown","Opaque, transparent in thin fragments","5 - 6","Vitreous - resinous","240px-Samarskite-%28Y%29_-_Yancey_Co%2C_North_Carolina%2C_USA.jpg","n = 2.1\u20132.2","Crystals elongated with pyramidal terminations; commonly granular to massive",
"Light blue to blue-green","Phosphates","Sampleite","Mineral","Phosphate","Orthorhombic (2/m 2/m 2/m) dipyramidal","","Perfect on {010}; good on {100} and {001}","Orthorhombic","Biaxial (-)","08.DG.05","a = 9.7 \u00c5, b = 38.4 \u00c5, c = 9.65 \u00c5; \u03b2 = 90.07\u00b0; Z = 8","<sub>875</sub>.<sub>95</sub> g","Light Blue","Transparent","4","Pearly","240px-Sampleite_04.JPG","n\u03b1 = 1.629 n\u03b2 = 1.677 n\u03b3 = 1.679","Aggregates, lath, rosette","3.2"
"Black","Sulfides","Samsonite","Mineral","Sulfide","2/m - Prismatic","Samsonite crystal from its type locality Samson Mine, St. Andreasberg, Harz, Germany",,"Monoclinic",,"02.GA.15","a = 10.3861(6) \u00c5, b = 8.1108(7) \u00c5, c = 6.663(7) \u00c5\u03b2 = 92.639(12)\u00b0, Z = 2","Ag<sub>4</sub>MnSb<sub>2</sub>S<sub>6</sub>",,"Opaque","2\u00bd","Metallic","240px-Samsonite-MA1232092002.jpg",,,"5.461 (calculated)"
"Colorless, White","Silicates","Sanbornite","Mineral","Phyllosilicate","Orthorhombic 2/m 2/m 2/m","sanbornite (white) with celsian (gray)\u2014Incline, Maricopa County, California","Perfect","Orthorhombic \u2013 Dipyramidal","Biaxial (-)","09.EF.10","a = 4.62\u00c5, b = 7.68\u00c5, c = 13.52\u00c5","<sub>273</sub>.<sub>50</sub> g","White","Transparent to translucent","5","Vitreous","240px-Sanbornite_with_celsian.jpg","n\u03b1 = 1.597, n\u03b2 = 1.616, n\u03b3 = 1.624","Platy modulated layers","3.74"
"Colorless to white","Other","Sanidine","Mineral","Feldspar",,"Sanidine - Puy de Sancy, Monts-Dore massif, Puy-de-D\u00f4me, Auvergne, France. (5x4.5cm)","{001} perfect, {010} good","Monoclinic - Prismatic H-M Symbol (2/m) Space Group: C 2/m","Biaxial (-)",,,"K(AlSi<sub>3</sub>O<sub>8</sub>)","White","Transparent to translucent","6","Vitreous, pearly on cleavage","240px-Sanidine.jpg","n\u03b1 = 1.518 - 1.525 n\u03b2 = 1.523 - 1.530 n\u03b3 = 1.525 - 1.531","Tabular crystals, may be acicular","2.52"
"Brown/light brown","Phosphates","Santabarbaraite","Mineral","Phosphate",,"Santabarbaraite (pseudomorph) after vivianite","None, parting along {010} of replaced phase","Amorphous","isotropic","08.CE.80",,"Fe<sub>3</sub>+<sub>3</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>3</sub>\u00b7<sub>5</sub>H<sub>2</sub>O","yellow-umber","Translucent","Not determined","Vitreous/ greasy","240px-Santabarbaraite-Vivianite-mrz341b.jpg","n = 1.659","Elongated or flattened prisms","2.24"
"White, yellow, red, green, blue","Silicates","Saponite","Mineral","PhyllosilicatesSmectite group","Monoclinic prismaticH-M symbol: (2/m)Space group: C 2/m","Saponite (light green) mixed with chamosite (dark green) and copper","{001} perfect","Monoclinic","Biaxial (-)","9.EC.45","a = 5.3 \u00c5, b = 9.14 \u00c5, c = 16.9 \u00c5; \u03b2 = 97\u00b0; Z = 2","Ca<sub>0</sub>.<sub>25</sub>(Mg,Fe)<sub>3</sub>((Si,Al)<sub>4</sub>O<sub>10</sub>)(OH)<sub>2</sub>\u00b7n(H<sub>2</sub>O)","White","Translucent","1.5","Greasy, dull","240px-Chamosite%2C_Saponite%2C_Copper-188771.jpg","n\u03b1 = 1.479 - 1.490 n\u03b2 = 1.510 - 1.525 n\u03b3 = 1.511 - 1.527","Granular - Massive","2.24 - 2.30"
,"Silicates","Sapphirine","Mineral","Silicate","Monoclinic H-M symbol: 2/mTriclinic polymorphs exist","Indigo-blue sapphirine crystal from Ft. Dauphin, Madagascar (size: 2.1 x 1.9 x 1.4 cm)","Poor to indistinct on {100}, {001}, and {010}","Monoclinic","Biaxial (-)","9.DH.45","a = 11.27 \u00c5, b = 14.4 \u00c5, c = 9.93 \u00c5; \u03b2 = 125.5\u00b0; Z = 4","(Mg,Al)<sub>8</sub>(Al,Si)<sub>6</sub>O<sub>20</sub>","White","Transparent to translucent","7.5","Vitreous","240px-Sapphirine-203257.jpg","n\u03b1 = 1.701 - 1.729 n\u03b2 = 1.703 - 1.732 n\u03b3 = 1.705 - 1.734","Anhedral, granular, tabular","3.40\u20133.58"
"Red to yellow","Arsenates","Sarkinite","Mineral","Arsenate","Space group: P21/a","","Distinct on {100}","Monoclinic","Biaxial (-)","8.BB.15","a=12.7795(13) \u00c5b=13.6127(14) \u00c5c=10.2188(11) \u00c5\u03b2 = 108.834(2)\u00b0Z=16","Mn<sub>2</sub>(AsO<sub>4</sub>)(OH)","Red to yellow","Semitransparent","4\u20135","Greasy","240px-Sarkinite-MD-18492a.jpg","n\u03b1=1.793, n\u03b2=1.807, n\u03b3=1.809","Tabular or granular",
,"Borates","Sassolite","Mineral","Borate","Triclinic 1","Yellow sassolite","Perfect on {001}, micaceous","Triclinic-pinacoidal","Biaxial (-)","06.AA.05","a = 7.02 \u00c5, b = 7.06 \u00c5, c\u00a0=\u00a06.59\u00a0\u00c5; \u03b1 = 103.65\u00b0, \u03b2\u00a0=\u00a0101.11\u00b0, \u03b3 = 59.98\u00b0; Z = 4","H<sub>3</sub>BO<sub>3</sub>","White","Transparent","1",,"240px-Sassolite.jpg","n\u03b1 = 1.340 n\u03b2 = 1.456 n\u03b3 = 1.459","As scaly pseudohexagonal crystals; ncrustations; platy; tabular; may be stalactitic","1.46-1.50"
"Light brown to light yellow","Phosphates","Satterlyite","Mineral","Phosphate","Trigonal ditrigonal pyramidalH-M symbol: (3m)Space group: P 31m","Satterlyite from the Rapid Creek area of northern Yukon, Canada","None","Trigonal","Uniaxial (-)","08.BB.20","a = 11.35 \u00c5, c = 5.04 \u00c5; Z=6","(Fe<sub>2</sub>+,Mg,Fe<sub>3</sub>+)<sub>2</sub>(PO<sub>4</sub>)(OH)","Pale yellow","Transparent","4.5-5","Vitreous","240px-Satterlyite_-_Rapid_Creek.jpg","n\u03c9 = 1.721 n\u03b5 = 1.719","Aggregate, nodular and radial","3.68"
,"Silicates","Scapolite group","Mineral","Tectosilicates",,"Scapolite from Madagascar",,,,,,,,,,,"240px-Skapolit%2C_Madagaskar%2C_Benono.JPG",,,
"Colorless, white, gray, brown, pale yellow, yellow-orange, pale shades of orange, red, green; may be compositionally color zoned","Other","Scheelite","Mineral","Tungstate","Tetragonal 4/m","","On {101}, distinct; on {112}, interrupted; on {001}, indistinct","Tetragonal - Dipyramidal","Uniaxial (+)","07.GA.05","a = 5.2429(3) \u00c5, c = 11.3737(6) \u00c5; Z=4","CaWO<sub>4</sub>","White","Transparent to opaque","4.5-5","Vitreous to adamantine","240px-Scheelite_MHNT.MIN.2004.0.88_%28p%29.jpg","n\u03c9 = 1.918 - 1.921 n\u03b5 = 1.935 - 1.938","Pseudo-octahedra, massive, columnar, granular","5.9\u20136.1"
"Pale to deep Prussian blue","Other","Schmiederite","Mineral","Selenate","Monoclinic prismaticH-M symbol: (2/m)Space group: P 21/m","Schmiederite",,"Monoclinic","Biaxial (+)","07.BC.65","a = 9.92 \u00c5, b = 5.71 \u00c5, c = 9.36 \u00c5; \u03b2 = 101.86\u00b0; Z = 2","Pb<sub>2</sub>Cu<sub>2</sub>(Se<sub>4</sub>+O<sub>3</sub>)(Se<sub>6</sub>+O<sub>4</sub>)(OH)<sub>4</sub>","Light blue","Transparent",,"Subadamantine to satiny","240px-Schmiederite-107145.jpg","n\u03b1 = 1.85\u20131.9 n\u03b2 = 1.9\u20131.95 n\u03b3 = 1.95\u20132.1","Fibrous in radial clusters; may be in crusts; powdery","5.62"
"Amber, lemon- or sulfur yellow","Other","Schoepite","Mineral","Uranium","Orthorhombic pyramidalH-M symbol: (mm2)Space group: P 21ca",""," Perfect,  indistinct","Orthorhombic","Biaxial (-)","04.GA.05","a = 14.33 \u00c5, b = 16.79 \u00c5, c = 14.73 \u00c5; Z = 4","(UO<sub>2</sub>)<sub>8</sub>O<sub>2</sub>(OH)<sub>12</sub> \u2022 <sub>12</sub>(H<sub>2</sub>O)","Yellow","Transparent to translucent","2.5","Adamantine","240px-Schoepite.jpg","n\u03b1 = 1.690 n\u03b2 = 1.714 n\u03b3 = 1.735","Commonly as tabular equant, to short prismatic crystals; rarely in microcrystalline aggregates","4.8"
"Most commonly black, but can range from colorless, brown, violet, yellow, orange, blue, red, green, pink, or bi-colored, or even tri-colored.","Silicates","Tourmaline","Mineral","Cyclosilicate",,"Schorl Tourmaline","Indistinct","Trigonal","Double refractive, uniaxial negative",,,"(Ca,K,Na,[])(Al,Fe,Li,Mg,Mn)<sub>3</sub>(Al,Cr, Fe,V)<sub>6</sub>(BO<sub>3</sub>)<sub>3</sub>(Si,Al,B)<sub>6</sub>O<sub>18</sub>(OH,F)<sub>4</sub>","White",,"7\u20137.5","Vitreous, sometimes resinous","240px-TourmalineUSGOV.jpg","n\u03c9=1.635\u20131.675, n\u03b5=1.610\u20131.650","Parallel and elongated. Acicular prisms, sometimes radiating. Massive. Scattered grains (in granite).","3.06 (+.20 -.06)"
"Silver-white to tin-white, tarnishes brass-yellow or brown","Other","Schreibersite","Mineral","PhosphideMeteorite",,"","{001} perfect, {010} indistinct, {110} indistinct","Tetragonal \u2013 Disphenoidal H-M Symbol (4)","Uniaxial","01.BD.05",,"(Fe,Ni)<sub>3</sub>P","Dark gray","Opaque","6.5\u20137","Brilliant metallic","240px-Gebel-Kamil-slice-10.7g.jpg",,"Rarely in crystals, hoppered, plates, tablets, rods or needles","7.0\u20137.3"
,"Carbonates","Schr\u00f6ckingerite","Mineral","Carbonate",,"",,,,"05.EG.05",,"NaCa<sub>3</sub>(UO<sub>2</sub>)[F|(CO<sub>3</sub>)<sub>3</sub>(SO<sub>4</sub>)]\u00b7<sub>10</sub>(H<sub>2</sub>O)",,,,,"240px-Schrockingerite-199668.jpg",,,
"Colorless white, pink, salmon, red or green","Other","Scolecite","Mineral","Zeolites",,"Scolecite specimen from India","Perfect on {110} and {110}","Monoclinic m Space group Cc","Biaxial (-)","8/J.21-60 or ID: 9.GA.05",,"<sub>392</sub>.<sub>34</sub> g","White","Transparent to translucent","5 to 5\u00bd","Vitreous, silky when fibrous","240px-Scol%C3%A9cite.jpg","Nx = 1.507 to 1.513Ny = 1.516 to 1.520Nz = 1.517 to 1.521","Thin prismatic needles, radiating groups and fibrous masses","2.16 to 2.40"
"Green, blue-green, grey, grayish-green, blue, yellow-brown, nearly colourless, violet","Arsenates","Scorodite","Mineral","Arsenate",,"Scorodite, Gold Hill, Utah",,"Orthorhombic","Biaxial (+)","08.CD.10","a = 8.937\u00c5, b = 10.278\u00c5, c = 9.996\u00c5","FeAsO<sub>4</sub>\u00b7<sub>2</sub>H<sub>2</sub>O","Greenish-White","Translucent","3.5-4","Sub-Adamantine, Vitreous, Resinous","240px-Scorodite.jpg",,,
"Dark blue","Phosphates","Scorzalite","Mineral","Phosphate","Monoclinic prismaticH-M symbol: (2/m)Space group: P 2/c","Scorzalite from the Esta\u00f1o Orcko mine, Potos\u00ed Department, Bolivia (6.8 x 5.7 x 5.1 cm)","Good on {110}, indistinct on {101}","Monoclinic","Biaxial (-)","08.BB.40","a = 7.15 \u00c5, b = 7.31 \u00c5, c = 7.25 \u00c5; \u03b2 = 120.58\u00b0; Z = 2","(Fe<sub>2</sub>+,Mg)Al<sub>2</sub>(OH,PO<sub>4</sub>)<sub>2</sub>","White","Semitransparent","6","Vitreous","240px-Scorzalite-245653.jpg","n\u03b1 = 1.626 - 1.645 n\u03b2 = 1.654 - 1.674 n\u03b3 = 1.663 - 1.680","Granular, massive, dipyramidal crystals","3.33"
"yellow, yellow-brown, pink","Borates","Seamanite","Mineral","Borate",,"Seamanite crystals on a rock sample
(5 x 4 x 3 cm)","distinct on {001}","orthorhombic",,"06.AC.65","a=7.811 \u00c5, b=15.114 \u00c5, c=6.691 \u00c5, Z=4","<sub>372</sub>.<sub>64</sub> g/mol","white","transparent","4","vitreous","230px-Seamanite-zr17a.jpg","n\u03b1 = 1.640,n\u03b2 = 1.663,n\u03b3 = 1.665","acicular",
"White, light brown","Silicates","Searlesite","Mineral","Phyllosilicate",,"Searlesite, near Green River, Wyoming",,"Monoclinic","Biaxial (-)","09.EF.15","a = 7.98\u00c5, b = 7.06\u00c5, c = 4.9\u00c5\u03b2 = 93.95\u00b0","NaBSi<sub>2</sub>O<sub>5</sub>(OH)<sub>2</sub>",,,"1-2","Vitreous","240px-Searlesite.jpg","n\u03b1 = 1.516 n\u03b2 = 1.531 n\u03b3 = 1.535",,
,"Other","Seeligerite","Mineral","Iodate",,"Seeligerite crystals, from Sierra Gorda, Antofagasta Region, Chile.",,,,"04.KB.15",,"Pb<sub>3</sub>Cl<sub>3</sub>(IO<sub>3</sub>)O",,,,,"240px-Seeligerita_01.JPG",,,
,"Silicates","Seifertite","Mineral","Silicate",,"Crystal structure",,"Orthorhombic mmm (2/m 2/m 2/m)",,,,"<sub>60</sub>.<sub>08</sub>",,,,,"240px-SeifertiteStructure.png",,"Microscopic crystals","4.294"
"Lead gray to black","Sulfides","Seligmannite","Mineral","Sulfide",,"Seligmannite from Palomo mine, Castrovirreyna Province, Huancavelica Department, Peru","Indistinct on the {001}, {100}, and {010}","Orthorhombic - Dipyramidal","Anisotropic","02.GA.50",,"<sub>441</sub>.<sub>87</sub> gm","Black to chocolate brown",,"3","Metallic","240px-Seligmannite-217331.jpg",,"Massive to Crystalline",
"Colorless to white","Halides","Sellaite","Mineral","Halide","Tetragonal, ditetragonal dipyramidalH-M symbol: (4/m 2/m 2/m)Space group: P 41/mnm","Sellaite crystal from Serra das \u00c9guas, Brazil (size: 4.2 x 2.4 x 2 cm)","Perfect on {010} and {110}","Tetragonal","Uniaxial (+)","3.AB.15","a = 4.6213(2) \u00c5, c = 3.0519(1) \u00c5; Z=2","MgF<sub>2</sub>",,"Transparent","5\u20135.5","Vitreous","150px-Sellaite-39033.jpg","n\u03c9 = 1.378 n\u03b5 = 1.390","Prismatic crystals; fibrous, radial, spherulitic","3.15"
"Dark gray to black","Sulfosalts","Semseyite","Mineral","Sulfosalt","Monoclinic prismaticH-M symbol: (2/m)Space group: C 2/c","Semseyite - Brioude-Massiac (Massif Central) France (11x3.5cm)[1]","Perfect on {112}","Monoclinic",,"2.HC.10d","a = 13.64 \u00c5, b = 11.96 \u00c5, c = 24.46 \u00c5; \u03b2 = 105.87\u00b0; Z = 4","Pb<sub>9</sub> Sb <sub>8</sub> S<sub>21</sub>",,"opaque","2.5","Metallic","240px-Semseyite2.jpg",,"Tabular, elongated prismatic crystals, commonly twisted; rosettelike groups","6.15"
"Grayish white, white, white with a yellowish or reddish tinge; bluish green","Silicates","Sepiolite","Mineral","Phyllosilicates","Orthorhombic 2/m2/m2/m","A sample of sepiolite",,"Orthorhombic - Dipyramidal","Biaxial (-)","09.EE.25 Single tetrahedral nets of 6-membered rings","a = 5.21 \u00c5, b = 26.73 \u00c5, c = 13.5 \u00c5; Z = 4","Mg<sub>4</sub>Si<sub>6</sub>O<sub>15</sub>(OH)<sub>2</sub>\u00b7<sub>6</sub>H<sub>2</sub>O","White","Opaque","2","Dull, earthy","240px-Mineraly.sk_-_sepiolit.jpg","n\u03b1 = 1.520 n\u03b2 = 1.520 n\u03b3 = 1.530","Compact nodular, earthy, clayey, massive; rarely fine fibrous along ","2; dry porous masses float on water"
,"Silicates","Serandite","Mineral","Inosilicates","PinacoidalH-M symbol: 1Space group: P1","Serandite from Mont Saint-Hilaire, Quebec, Canada","Perfect on {001} and {100}","Triclinic","Biaxial (+)","9.DG.05","a = 7.683(1) \u00c5, b = 6.889(1) \u00c5c = 6.747(1) \u00c5, \u03b1 = 90.53(5)\u00b0\u03b2 = 94.12(2)\u00b0, \u03b3 = 102.75(2)\u00b0Z = 2","Na(Mn<sub>2</sub>+,Ca)<sub>2</sub>Si<sub>3</sub>O<sub>8</sub>(OH).","White","Transparent, Translucent","5 to 5.5","Vitreous to greasy; fibrous aggregates are dull to silky","240px-Serandite-d05-45a.jpg","n\u03b1 = 1.668n\u03b2 = 1.671n\u03b3 = 1.703",,
"pale yellow, blue-green, greyish blue, black","Silicates","Serendibite","Mineral","Inosilicates",,"Serendibite, 1.06 - 4.06 ct, Myanmar","None Observed",,"Biaxial (+)","9.DH.40",,"(Ca,Na)<sub>2</sub>(Mg,Fe<sub>2</sub>+)<sub>3</sub>(Al,Fe<sub>3</sub>+)<sub>3</sub>[O<sub>2</sub>|(Si,Al,B)<sub>6</sub>O<sub>18</sub>]","White","Transparent, Translucent,Opaque","6.5 - 7","Vitreous","240px-Serendibite-G-EmpireTheWorldOfGems.jpg","1.701 - 1.706",,
,"Sulfates","Serpierite","Mineral","Sulfate",,"Serpierite from the Genna zinc smelter, Germany (slag locality)","Perfect on {001}","Monoclinic 2/m","Biaxial (-)","7.DD.30 (10 ed.)VI/D.19-20 (8 ed.)",,"<sub>644</sub>.<sub>32</sub> g","White, pale blue or greenish white","Transparent",,"Vitreous, pearly on cleavages","240px-Serpierite-105024.jpg","n\u03b1 = 1.58, n\u03b2 = 1.64, n\u03b3 = 1.65","Crusts and tufted aggregates of tiny lathlike crystals","3.07"
"Dark and light blue, turquoise","Silicates","Shattuckite","Mineral","Inosilicate",,"Shattuckite from the type locality in Bisbee. Size: 6.0\u00d74.9\u00d72.9 cm.","perfect along  and ","Orthorhombic","Biaxial (+)","09.DB.40",,"Cu<sub>5</sub>(SiO<sub>3</sub>)<sub>4</sub>(OH)<sub>2</sub>","Blue","Translucent to opaque","3.5","Dull to silky","240px-Shattuckite-170581.jpg","n\u03b1 = 1.753, n\u03b2 = 1.782, n\u03b3 = 1.815","Commonly spherulitic aggregates of acicular crystals","4.1 (rather heavy for a non-metallic mineral)"
"Yellow, burnt orange, brown, black","Sulfates","Shigaite","Mineral","Sulfate","Trigonal rhombohedralH-M symbol: (3)Space group: R3","Reddish-brown shigaite crystal (2 cm across) with pink rhodochrosite from South Africa","Perfect on {0001}","Trigonal","Uniaxial (-)","07.DD.35","a = 9.51 \u00c5, c = 32.83 \u00c5, Z=3","NaAl<sub>3</sub>(Mn<sub>2</sub>+)<sub>6</sub>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>18</sub>\u00b7<sub>12</sub>H<sub>2</sub>O","Very pale yellow to white","Transparent","~2","Vitreous to dull","240px-Rhodochrosite-Shigaite-cktsr-4a.jpg","n = 1.546",,"2.32"
,"Carbonates","Shortite","Mineral","Carbonate",,"Shortite, Green River Formation, Wyoming",,,,"05.AC.25",,"Na<sub>2</sub>Ca<sub>2</sub>(CO<sub>3</sub>)<sub>3</sub>",,,,,"240px-Shortite.jpg",,,
"Pale yellow to tannish, grey, brown, green, red, black and sometimes nearly colorless","Carbonates","Siderite","Mineral","Carbonate","Trigonal hexagonal scalenohedralH-M symbol: (32/m)Space group: R 3c","Siderite from Brasil","Perfect on {0111}","Trigonal - Hexagonal scalenohedral (3 2/m)","Uniaxial (-)","05.AB.05","a = 4.6916 \u00c5, c = 15.3796 \u00c5; Z=6","FeCO<sub>3</sub>","White","Translucent to subtranslucent","3.75 - 4.25","Vitreous, may be silky to pearly","240px-SideriteBresil2.jpg","n\u03c9 = 1.875 n\u03b5 = 1.633","Tabular crystals, often curved - botryoidal to massive","3.96"
